status,source_file,output_file,preset,original_size_bytes,converted_size_bytes,message
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/chica.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/thumbnail/perfumes/chica_thumbnail.webp,thumbnail,87303,2848,85.3 KB -> 2.8 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/chica.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/card/perfumes/chica_card.webp,card,87303,8966,85.3 KB -> 8.8 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/chica.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/detail/perfumes/chica_detail.webp,detail,87303,25536,85.3 KB -> 24.9 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/chica.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/hero/perfumes/chica_hero.webp,hero,87303,44620,85.3 KB -> 43.6 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/duet eau de parfum.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/thumbnail/perfumes/duet eau de parfum_thumbnail.webp,thumbnail,135494,2862,132.3 KB -> 2.8 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/duet eau de parfum.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/card/perfumes/duet eau de parfum_card.webp,card,135494,11932,132.3 KB -> 11.7 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/duet eau de parfum.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/detail/perfumes/duet eau de parfum_detail.webp,detail,135494,43216,132.3 KB -> 42.2 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/duet eau de parfum.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/hero/perfumes/duet eau de parfum_hero.webp,hero,135494,80204,132.3 KB -> 78.3 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/midnight bloom.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/thumbnail/perfumes/midnight bloom_thumbnail.webp,thumbnail,87065,4916,85.0 KB -> 4.8 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/midnight bloom.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/card/perfumes/midnight bloom_card.webp,card,87065,14892,85.0 KB -> 14.5 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/midnight bloom.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/detail/perfumes/midnight bloom_detail.webp,detail,87065,41194,85.0 KB -> 40.2 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/midnight bloom.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/hero/perfumes/midnight bloom_hero.webp,hero,87065,58016,85.0 KB -> 56.7 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/serene-pour-femme-edp-100ml.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/thumbnail/perfumes/serene-pour-femme-edp-100ml_thumbnail.webp,thumbnail,79811,2706,77.9 KB -> 2.6 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/serene-pour-femme-edp-100ml.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/card/perfumes/serene-pour-femme-edp-100ml_card.webp,card,79811,8546,77.9 KB -> 8.3 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/serene-pour-femme-edp-100ml.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/detail/perfumes/serene-pour-femme-edp-100ml_detail.webp,detail,79811,24446,77.9 KB -> 23.9 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/serene-pour-femme-edp-100ml.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/hero/perfumes/serene-pour-femme-edp-100ml_hero.webp,hero,79811,41716,77.9 KB -> 40.7 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/adidas uefa champions league arena edition.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/thumbnail/perfumes/adidas uefa champions league arena edition_thumbnail.webp,thumbnail,107812,5836,105.3 KB -> 5.7 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/adidas uefa champions league arena edition.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/card/perfumes/adidas uefa champions league arena edition_card.webp,card,107812,19346,105.3 KB -> 18.9 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/adidas uefa champions league arena edition.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/detail/perfumes/adidas uefa champions league arena edition_detail.webp,detail,107812,57250,105.3 KB -> 55.9 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/adidas uefa champions league arena edition.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/hero/perfumes/adidas uefa champions league arena edition_hero.webp,hero,107812,83358,105.3 KB -> 81.4 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/cool falcon.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/thumbnail/perfumes/cool falcon_thumbnail.webp,thumbnail,132661,3524,129.6 KB -> 3.4 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/cool falcon.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/card/perfumes/cool falcon_card.webp,card,132661,13744,129.6 KB -> 13.4 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/cool falcon.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/detail/perfumes/cool falcon_detail.webp,detail,132661,44492,129.6 KB -> 43.4 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/cool falcon.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/hero/perfumes/cool falcon_hero.webp,hero,132661,79652,129.6 KB -> 77.8 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/adidas ice dive.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/thumbnail/perfumes/adidas ice dive_thumbnail.webp,thumbnail,107062,6106,104.6 KB -> 6.0 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/adidas ice dive.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/card/perfumes/adidas ice dive_card.webp,card,107062,20168,104.6 KB -> 19.7 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/adidas ice dive.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/detail/perfumes/adidas ice dive_detail.webp,detail,107062,57836,104.6 KB -> 56.5 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/adidas ice dive.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/hero/perfumes/adidas ice dive_hero.webp,hero,107062,84356,104.6 KB -> 82.4 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/Amber Romance.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/thumbnail/perfumes/Amber Romance_thumbnail.webp,thumbnail,94720,4606,92.5 KB -> 4.5 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/Amber Romance.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/card/perfumes/Amber Romance_card.webp,card,94720,15892,92.5 KB -> 15.5 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/Amber Romance.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/detail/perfumes/Amber Romance_detail.webp,detail,94720,46714,92.5 KB -> 45.6 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/Amber Romance.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/hero/perfumes/Amber Romance_hero.webp,hero,94720,68158,92.5 KB -> 66.6 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/grace.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/thumbnail/perfumes/grace_thumbnail.webp,thumbnail,106924,3386,104.4 KB -> 3.3 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/grace.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/card/perfumes/grace_card.webp,card,106924,11446,104.4 KB -> 11.2 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/grace.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/detail/perfumes/grace_detail.webp,detail,106924,33598,104.4 KB -> 32.8 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/grace.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/hero/perfumes/grace_hero.webp,hero,106924,59886,104.4 KB -> 58.5 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/Amber romance.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/thumbnail/perfumes/Amber romance_thumbnail.webp,thumbnail,94720,4606,92.5 KB -> 4.5 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/Amber romance.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/card/perfumes/Amber romance_card.webp,card,94720,15892,92.5 KB -> 15.5 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/Amber romance.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/detail/perfumes/Amber romance_detail.webp,detail,94720,46714,92.5 KB -> 45.6 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/Amber romance.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/hero/perfumes/Amber romance_hero.webp,hero,94720,68158,92.5 KB -> 66.6 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/love collection n100.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/thumbnail/perfumes/love collection n100_thumbnail.webp,thumbnail,66997,2970,65.4 KB -> 2.9 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/love collection n100.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/card/perfumes/love collection n100_card.webp,card,66997,10228,65.4 KB -> 10.0 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/love collection n100.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/detail/perfumes/love collection n100_detail.webp,detail,66997,29498,65.4 KB -> 28.8 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/love collection n100.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/hero/perfumes/love collection n100_hero.webp,hero,66997,43512,65.4 KB -> 42.5 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/silhouette.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/thumbnail/perfumes/silhouette_thumbnail.webp,thumbnail,114912,3382,112.2 KB -> 3.3 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/silhouette.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/card/perfumes/silhouette_card.webp,card,114912,11146,112.2 KB -> 10.9 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/silhouette.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/detail/perfumes/silhouette_detail.webp,detail,114912,34946,112.2 KB -> 34.1 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/silhouette.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/hero/perfumes/silhouette_hero.webp,hero,114912,62912,112.2 KB -> 61.4 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/mayar lattafa.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/thumbnail/perfumes/mayar lattafa_thumbnail.webp,thumbnail,85417,4440,83.4 KB -> 4.3 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/mayar lattafa.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/card/perfumes/mayar lattafa_card.webp,card,85417,13850,83.4 KB -> 13.5 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/mayar lattafa.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/detail/perfumes/mayar lattafa_detail.webp,detail,85417,38892,83.4 KB -> 38.0 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/mayar lattafa.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/hero/perfumes/mayar lattafa_hero.webp,hero,85417,55608,83.4 KB -> 54.3 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/dark black.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/thumbnail/perfumes/dark black_thumbnail.webp,thumbnail,79912,2550,78.0 KB -> 2.5 KB
SUCCESS,/home/gabbu/Downloads/ecommerce-produtos/perfumes/dark black.jpeg,/home/gabbu/Área de trabalho/scripts/otimizacao-imgs-webp/ecommerce-produtos/card/perfumes/dark black_card.webp,card,79912,7742,78.0 KB -> 7.6 KB
